tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
547772,ceftazidime,1 g,powder for solution for injection,,,vial,CEFZIDIME,ไบโอแลป
793565,carteolol hydrochloride,1 g/100 mL,"eye drops, solution",5,mL,bottle,ARTEOPTIC,"CHINA OTSUKA PHARMACEUTICAL, CHINA"
797929,rabies immunoglobulin (human),750 iu/5 mL,solution for injection,5,mL,vial,HRIG,ศูนย์บริการโลหิตแห่งชาติ สภากาชาดไทย
800523,chlorphenamine maleate,2 mg/5 mL,syrup,60,mL,bottle,SURAMINE,สุพงษ์เภสัช
551412,cefuroxime,750 mg,powder for solution for injection/infusion,,,vial,CEFUROXIME,ที.พี. ดรัก แลบบอราทอรี่ส์ (พระราม 2)
799388,biotin + calcium + colecalciferol + copper + cyanocobalamin + folic acid + ginseng extract + iron + magnesium + nicotinamide + pyridoxine hydrochloride + riboflavin + selenium + thiamine mononitrate + tocopherol + zinc,0.15 mg + 100 mg + 200 iu + 0.5 mg + 1 mg + 0.2 mg + 40 mg + 10 mg + 40 mg + 18 mg + 2 mg + 1.6 mg + 0.05 mg + 1.4 mg + 14.9 mg + 1 mg,effervescent tablet,,,tablet,PHARMATON FIZZI,"E-PHARMA TRENTO, ITALY"
1052752,triamcinolone acetonide,100 mg/100 g,cream,500,g,jar,TRIAMCREAM,โปลิฟาร์ม
633730,guaifenesin + pseudoephedrine hydrochloride,100 mg/5 mL + 30 mg/5 mL,syrup,60,mL,bottle,ROBITUSSIN P.S.,อินเตอร์ไทย ฟาร์มาซูติเคิ้ล แมนูแฟคเจอริ่ง
633724,guaifenesin + pseudoephedrine hydrochloride,100 mg/5 mL + 30 mg/5 mL,syrup,100,mL,bottle,ROBITUSSIN P.S.,อินเตอร์ไทย ฟาร์มาซูติเคิ้ล แมนูแฟคเจอริ่ง
635828,simeticone,40 mg/1 mL,"oral drops, suspension",15,mL,bottle,OVOL,"CHURCH & DWIGHT, CANADA"
636076,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,60,mL,bottle,ACTIN,สยามเมดิแคร์
636053,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,3.8,L,gallon,ACTIN,สยามเมดิแคร์
636547,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,60,mL,bottle,CO-FATRIM,ที.แมน. ฟาร์มา
636568,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,60,mL,bottle,COBAL S.T.,ไบร์วู๊ดฟาร์มาซูติคอล
637813,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,50,mL,bottle,SEPTRIN PAEDIATRIC,แกล็กโซ เวลคัม วิทยาศรม
757445,aluminium hydroxide + magnesium hydroxide,220 mg/5 mL + 120 mg/5 mL,oral suspension,300,mL,bottle,ALUMED,สหแพทย์เภสัช
757484,aluminium hydroxide + magnesium hydroxide,220 mg/5 mL + 120 mg/5 mL,oral suspension,3.75,L,gallon,ALUMED,สหแพทย์เภสัช
757466,aluminium hydroxide + magnesium hydroxide,220 mg/5 mL + 120 mg/5 mL,oral suspension,1,L,gallon,ALUMED,สหแพทย์เภสัช
548345,ceftazidime,500 mg,powder for solution for injection,,,vial,ZEDIM,"REYOUNG PHARMACEUTICAL, CHINA"
552753,chlorpromazine hydrochloride,50 mg/2 mL,solution for injection,2,mL,ampoule,MATCINE,แอตแลนติค
559632,dextrose + sodium chloride,5 g/100 mL + 300 mg/100 mL,solution for infusion,500,mL,bag,DEXTROSE 5% IN SODIUM CHLORIDE 0.3%,ไทยโอซูก้า
559621,dextrose + sodium chloride,5 g/100 mL + 300 mg/100 mL,solution for infusion,1,L,bag,DEXTROSE 5% IN SODIUM CHLORIDE 0.3%,ไทยโอซูก้า
559716,dextrose + sodium chloride,5 g/100 mL + 300 mg/100 mL,solution for infusion,1,L,bag,DEXTROSE 5% IN SODIUM CHLORIDE 0.3% U.S.P.,"P.T. OTSUKA, INDONESIA"
995742,chlorhexidine gluconate,4 g/100 mL,cutaneous solution,45,mL,bottle,HEXENE,โอสถอินเตอร์ แลบบอราทอรีส์
799991,hyaluronic acid + lidocaine,20 mg/1 mL + 3 mg/1 mL,gel for injection,1,mL,prefilled syr,RESTYLANE PERLANE LIDOCAINE,"Q-MED, SWEDEN"
669105,"diphtheria toxoid + haemophilus influenzae type b vaccine + pertussis vaccine, acellular + poliomyelitis, inactived type 1 (vero cell) + poliomyelitis, inactived type 2 (vero cell) + poliomyelitis, inactived type 3 (vero cell) + tetanus toxoid",30 iu/0.5 mL + 10 mcg/0.5 mL + 25 mcg/0.5 mL + 40 D antigen unit/0.5 mL + 8 D antigen unit/0.5 mL + 32 D antigen unit/0.5 mL + 40 iu/0.5 mL,suspension for injection,0.5,mL,prefilled syr,INFANRIX IPV HIB,"GLAXOSMITHKLINE BIOLOGICALS, BELGIUM"
622104,nystatin,25 mg/1 mL,oral suspension,12,mL,bottle,TYSTATIN,ที.โอ. ฟาร์ม่า
623048,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol + phenylephrine hydrochloride,1 mg/5 mL + 7.5 mg/5 mL + 120 mg/5 mL + 2.5 mg/5 mL,syrup,60,mL,bottle,C-KOUGH,ชาญกิจเทรดดิ้ง
623696,chlorphenamine maleate + guaifenesin + paracetamol + phenylephrine hydrochloride,750 mcg/5 mL + 50 mg/5 mL + 150 mg/5 mL + 2.5 mg/5 mL,syrup,60,mL,bottle,COUGO,บี.เอม. ฟาร์มาซี
549069,ceftriaxone,1 g,powder for solution for injection/infusion,,,vial,AUROXONE,"AUROBINDO PHARMA, INDIA"
549167,ceftriaxone,1 g,powder for solution for injection/infusion,,,vial,ROSAL,แอล.บี.เอส. แลบบอเรตอรี่
549743,ceftriaxone,250 mg,powder for solution for injection/infusion,,,vial,TRICEPHIN,แอตแลนติค
889761,boric acid,3 g/100 mL,"ear drops, solution",15,mL,bottle,BORIC ACID 3% IN WATER EAR DROP,โรงพยาบาลอ่างทอง
893488,clioquinol + triamcinolone acetonide,3 g/100 g + 20 mg/100 g,cream,30,g,jar,VIOFORM 3% IN TA 0.02%,โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จังหวัดตรัง
894676,dextrose + sodium chloride,20 g/100 mL + 450 mg/100 mL,solution for infusion,500,mL,bottle,D-20-S/2,โรงพยาบาลราชบุรี
770625,cilastatin + imipenem,500 mg + 500 mg,powder for solution for infusion,,,vial,PREPENEM,"JW PHARMACEUTICAL, KOREA"
773933,sodium bicarbonate,2.5 g/100 mL,"ear drops, solution",10,mL,bottle,SODIUM BICARBONATE EAR DROPS,โรงพยาบาลศิริราช
633186,phenytoin,125 mg/5 mL,oral suspension,237,mL,bottle,DILANTIN,"PHARMACIA & UPJOHN, U.S.A."
637832,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,900,mL,bottle,SEPTRIN PAEDIATRIC,แกล็กโซ เวลคัม วิทยาศรม
637907,sulfamethoxazole + trimethoprim,200 mg/5 mL + 40 mg/5 mL,oral suspension,60,mL,bottle,SULBACTA,โอลัน-เคมเมด
735691,benzalkonium chloride + ethyl alcohol,50 g/100 mL + 80 g/100 mL,cutaneous solution,250,mL,bottle,FREKADERM,"DAVIMED, GERMANY"
581440,tuberculin purified protein derivative,100 iu/1 mL,solution for injection,1,mL,vial,MONOTEST,"PASTEUR MERIEUX SERUMS ET VACCINS, FRANCE"
778756,pentaerithrityl tetranitrate,10 mg,tablet,,,tablet,PERITRATE,โอลิค
