tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
553447,ciprofloxacin,200 mg/100 mL,solution for infusion,100,mL,vial,CIPRACIN,ยูโทเปี้ยน
555330,cyanocobalamin,100 mcg/1 mL,solution for injection,1,mL,ampoule,VITAMIN B12,อุดมพร
556784,dextrose,10 g/100 mL,solution for infusion,1,L,bottle,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
963098,dextrose,10 g/100 mL,solution for infusion,1,L,bag,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
963079,dextrose,10 g/100 mL,solution for infusion,200,mL,bag,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
784049,dextrose,10 g/100 mL,solution for infusion,200,mL,bottle,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
556807,dextrose,10 g/100 mL,solution for infusion,500,mL,bottle,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
963080,dextrose,10 g/100 mL,solution for infusion,500,mL,bag,DEXTROSE 10% IN WATER,เยเนอรัล ฮอสปิตัล โปรดัคส์ (มหาชน)
555923,dexamethasone,5 mg/1 mL,solution for injection,1,mL,ampoule,LODEXA,แอล.บี.เอส. แลบบอเรตอรี่
555981,dexamethasone,5 mg/1 mL,solution for injection,10,mL,vial,LODEXA,แอล.บี.เอส. แลบบอเรตอรี่
628486,paracetamol,240 mg/5 mL,syrup,60,mL,bottle,FEMOL 6-12,บุคคโลเทรดดิ้ง
632508,paracetamol,250 mg/5 mL,oral suspension,60,mL,bottle,UNIMOL,ยูนีซัน
640192,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,ACTIFED,"P.T. GLAXO WELLCOME, INDONESIA"
640515,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,COLIDIN,ที.แมน. ฟาร์มา
640618,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,FAFED,ห้างขายยาตราเจ็ดดาว
640694,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,KITTIFED,ที.พี. ดรัก แลบบอราทอรี่ส์
640832,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,NASOLIN,ไทยนครพัฒนา
640969,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,50,mL,bottle,PACIFED,อินแพคฟาร์มา
641043,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,PROFED,โปรเกรสแลบ
641089,pseudoephedrine hydrochloride + triprolidine hydrochloride,30 mg/5 mL + 1.25 mg/5 mL,syrup,60,mL,bottle,PROPHEDIN,สยามเภสัช
