tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
373673,metoclopramide hydrochloride,10 mg,tablet,,,tablet,MERAMIDE,บี.เอ็ล.ฮั้ว
374423,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFOREX 500,สหการโอสถ
374605,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFORMIN 500,พาตาร์แลบ
374622,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFORMIN 850,ยูโทเปี้ยน
314058,dimenhydrinate,50 mg,tablet,,,tablet,DIMENHYDRINATE,พิคโก้ฟาร์มา
314313,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,DIMET,ห้างยาไทย
314456,dimenhydrinate,50 mg,tablet,,,tablet,DIMONATE,ยูโทเปี้ยน
314473,dimenhydrinate,50 mg,tablet,,,tablet,DIMONINE,เบสซี่แอรอน
316127,dimenhydrinate,50 mg,tablet,,,tablet,DIZCON,บี.เอ็ล.ฮั้ว
372229,diazepam,2 mg,tablet,,,tablet,MED-ZEPAM,เวชบริการ
373591,procaterol,25 mcg,tablet,,,tablet,MEPTIN-MINI,"OTSUKA PHARMACEUTICAL, JAPAN"
374406,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFOR-850,มิลลิเมด
374803,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFORMIN PX,ไอ.ดี.เอส. แมนูแฟคเจอริ่ง
374861,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFORMIN RX 850,แอล.เอฟ.ดี. แมนูแฟคเจอริ่ง
316416,domperidone,10 mg,tablet,,,tablet,DOLIUM,ยูโทเปี้ยน
316767,domperidone,10 mg,tablet,,,tablet,DOMILIUM,เลิศสิงห์เภสัชกรรม
317047,domperidone,10 mg,tablet,,,tablet,DOPABLOC,ที.แมน. ฟาร์มา
319755,dimenhydrinate,50 mg,tablet,,,tablet,DYMENHYDRINATE,พอนด์เคมีคอล
301398,clindamycin,300 mg,"capsule, hard",,,capsule,DALACIN C,"SANICO, BELGIUM"
302534,loratadine,10 mg,tablet,,,tablet,DAYTADINE,อังกฤษตรางู
303353,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride,2 mg + 500 mg + 7.5 mg,tablet,,,tablet,DECOLGEN PRIN,ยูนิแล็บ ฟาร์มาซูติคอลส์
369381,mecobalamin,500 mcg,film-coated tablet,,,tablet,MECOBA 500,เภสัชกรรมศรีประสิทธิ์
369721,paracetamol,325 mg,tablet,,,tablet,ME-DAMOL 325-Y,เวชบริการ
369824,amoxicillin,250 mg,"capsule, hard",,,capsule,MED-AMOXIN,เกร๊ทเตอร์ฟาร์ม่า
370572,amitriptyline hydrochloride,10 mg,film-coated tablet,,,tablet,MEDEPRESS 10,ที.พี. ดรัก แลบบอราทอรี่ส์
362597,lopinavir + ritonavir,200 mg + 50 mg,film-coated tablet,,,tablet,LOPINAVIR/RITONAVIR,"MYLAN LABORATORIES, INDIA"
362917,loratadine,10 mg,tablet,,,tablet,LORAHEXAL,"P.T. SANDOZ, INDONESIA"
363517,lorazepam,2 mg,tablet,,,tablet,LORAZEP,เอเชี่ยนฟาร์มาซูติคอล
364289,loperamide,2 mg,tablet,,,tablet,LYCOS,มาซา แลบ
321805,aspirin,300 mg,coated tablet,,,tablet,ENTAS 300,วี.เอส. ฟาร์ม่า
470281,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,VANAFORMIN,แอตแลนติค
470487,flunarizine,5 mg,"capsule, hard",,,capsule,VANID,ยูนีซัน
471950,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,VESCOPHAGE-500,เวสโก ฟาร์มาซูติคอล
472133,ofloxacin,300 mg,film-coated tablet,,,tablet,VESOFLOX-300,วี.เอส. ฟาร์ม่า
474904,riboflavin,25 mg,tablet,,,tablet,VITABEE-2-25,เอส.เอส.พี. ลาบอราตอรี่
366650,dimenhydrinate,50 mg,tablet,,,tablet,MANODIMEN,แหลมทองการแพทย์
370932,ampicillin,250 mg,"capsule, hard",,,capsule,MEDICILLIN,สหแพทย์เภสัช
373570,procaterol,25 mcg,tablet,,,tablet,MEPTIN MINI,"TAIWAN OTSUKA PHARMACEUTICAL, TAIWAN"
373752,brompheniramine maleate + paracetamol,4 mg + 500 mg,tablet,,,tablet,MERCID,มาซา แลบ
374327,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFOCARD-500,มาซา แลบ
374447,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFOREX 850,สหการโอสถ
374646,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFORMIN 850,สหแพทย์เภสัช
374667,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFORMIN BDC,บางกอกแล็ป แอนด์ คอสเมติค
364514,pregabalin,25 mg,"capsule, hard",,,capsule,LYRICA,"PFIZER ARZNEIMITTELWERK GODECKE, GERMANY"
305410,dexamethasone,500 mcg,coated tablet,,,tablet,DEXAMETHASONE,พอนด์เคมีคอล
308761,glimepiride,1 mg,tablet,,,tablet,DIAGLIP 1,สยามเภสัช
309625,loperamide,2 mg,tablet,,,tablet,DIARA,บูรพาโอสถ
374701,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METFORMIN DENK 850,"E. DENK OHG, GERMANY"
374928,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,METFORMIN TABLETS BP,"AUROBINDO PHARMA, INDIA"
375476,metformin hydrochloride,850 mg,film-coated tablet,,,tablet,METICA 850,"AMBALAL SARABHAI ENTERPRISES, INDIA"
465243,tramadol hydrochloride,5 mg,"capsule, hard",,,capsule,TROC,"BHARAT PARENTERALS, INDIA"
467057,sultamicillin,375 mg,film-coated tablet,,,tablet,UNASYN,"PFIZER, JAPAN"
469141,ampicillin,300 mg,"capsule, hard",,,capsule,UTOCILLIN,ยูโทเปี้ยน
469253,progesterone,100 mg,"capsule, soft",,,capsule,UTROGESTAN,"LABORATOIRES BESINS INTERNATIONAL, FRANCE"
313235,phenytoin sodium,100 mg,"capsule, hard",,,capsule,DILANTIN,"WARNER CHILCOTT, PUERTO RICO"
314753,spironolactone,25 mg,film-coated tablet,,,tablet,DIRACTONE,บางกอกแล็ป แอนด์ คอสเมติค
269625,cinnarizine,25 mg,tablet,,,tablet,BUGERON,บูรพาโอสถ
269641,cetirizine hydrochloride,10 mg,film-coated tablet,,,tablet,BUKATEC,บุคคโลเทรดดิ้ง
270297,chlorphenamine maleate + terpin hydrate,2 mg + 125 mg,tablet,,,tablet,C.P.M.-2 EXPECT,เมดิซีน โปรดักส์
271090,paracetamol,500 mg,film-coated tablet,,,tablet,CALPOL,"STERLING DRUG, MALAYSIA"
363295,loratadine,10 mg,tablet,,,tablet,LORATADINE,โอสถอินเตอร์ แลบบอราทอรีส์
363691,loratadine,10 mg,tablet,,,tablet,LORDAMIN,"Y.S.P. INDUSTRIES, MALAYSIA"
363875,loratadine,10 mg,tablet,,,tablet,LORITYNE,เลิศสิงห์เภสัชกรรม
364145,minoxidil,10 mg,tablet,,,tablet,LOXIDIL FORTE,นิวไลฟ์ฟาร์ม่า
366255,methocarbamol,500 mg,tablet,,,tablet,MANNIX,เมดิซีน โปรดักส์
323713,amlodipine + valsartan,10 mg + 320 mg,film-coated tablet,,,tablet,EXFORGE,"NOVARTIS PHARMA, SWITZERLAND"
327092,metronidazole,200 mg,film-coated tablet,,,tablet,FLAGYL,โอลิค
337521,glipizide,10 mg,prolonged-release tablet,,,tablet,GLUCOTROL XL,"PFIZER, FRANCE"
360039,cefalexin,250 mg,"capsule, hard",,,capsule,LEXPORIN,นิด้า ฟาร์มา
361878,loperamide,2 mg,"capsule, hard",,,capsule,LOMY,มาซา แลบ
362196,lorazepam,1 mg,tablet,,,tablet,LONZA 1.0,เมดิซีน โปรดักส์
362453,loperamide,2 mg,"capsule, hard",,,capsule,LOPERMIDE,แอตแลนติค
367384,chlorpromazine hydrochloride,10 mg,"capsule, hard",,,capsule,MANOZO,แหลมทองการแพทย์
275801,cefalexin,250 mg,"capsule, hard",,,capsule,CEFXIN 250,ชุมชนเภสัชกรรม
277043,cefalexin,250 mg,"capsule, hard",,,capsule,CEPHALEX 250,บางกอกแล็ป แอนด์ คอสเมติค
277089,cefalexin,250 mg,"capsule, hard",,,capsule,CEPHALEX-250,บางกอกแล็ป แอนด์ คอสเมติค
277186,cefalexin,250 mg,"capsule, hard",,,capsule,CEPHALEXIN,บางกอกแล็ป แอนด์ คอสเมติค
375597,metoclopramide hydrochloride,10 mg,tablet,,,tablet,METOCLOR,สหแพทย์เภสัช
379350,ethambutol hydrochloride,400 mg,film-coated tablet,,,tablet,MOBUTOL,โมเดอร์นแมนู
327403,ciprofloxacin,500 mg,film-coated tablet,,,tablet,FLIXX,เวสโก ฟาร์มาซูติคอล
328363,fluconazole,150 mg,"capsule, hard",,,capsule,FLUCOZOLE,สยามเภสัช
311855,dicloxacillin,500 mg,"capsule, hard",,,capsule,DICLOXCAN,ห้างขายยาตราเจ็ดดาว
312435,dicloxacillin,500 mg,"capsule, hard",,,capsule,DICLOXY 500,เอ็ม.แอนด์.เอ็ช. แมนูแฟคเจอริ่ง
312555,dicloxacillin,500 mg,"capsule, hard",,,capsule,DICORBIN-500,สหแพทย์เภสัช
325576,cefalexin,250 mg,"capsule, hard",,,capsule,FARMALEX 250,บางกอกแล็ป แอนด์ คอสเมติค
316590,tramadol hydrochloride,50 mg,"capsule, hard",,,capsule,DOLOTRAM,"M.J. PHARMACEUTICAL, INDIA"
317790,doxazosin,4 mg,film-coated tablet,,,tablet,DOXAZOSIN-NIDA,นิด้า ฟาร์มา
323086,glibenclamide,5 mg,tablet,,,tablet,EUBEMIE,วี.แอนด์.พี ลาบอราตอรี่
325894,tinidazole,500 mg,film-coated tablet,,,tablet,FASIGYN,"PFIZER, KOREA"
326176,simeticone,80 mg,chewable tablet,,,tablet,FA-X,ห้างขายยาตราเจ็ดดาว
366238,amoxicillin,500 mg,"capsule, hard",,,capsule,MANMOX-500,ที.แมน. ฟาร์มา
369220,mebendazole,100 mg,tablet,,,tablet,MEBENDAZOLE,บี.เอ็ล.ฮั้ว
371905,phenazopyridine,100 mg,coated tablet,,,tablet,MED-PHENAZO,เวชบริการ
373279,mebeverine hydrochloride,135 mg,film-coated tablet,,,tablet,MENOSOR,ที.พี. ดรัก แลบบอราทอรี่ส์
