tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
294353,bisoprolol fumarate,5 mg,film-coated tablet,,,tablet,CONCOR COR,"MERCK KGAA, U.S.A."
314418,chlorphenamine maleate + paracetamol,2 mg + 500 mg,tablet,,,tablet,DIMOATE,เคมีภัณฑ์ เมดิคอล
317023,methyldopa,250 mg,film-coated tablet,,,tablet,DOPA,ยูโทเปี้ยน
318784,hydroxyzine hydrochloride,25 mg,tablet,,,tablet,DROXIM,บุคคโลเทรดดิ้ง
229186,amoxicillin + clavulanic acid,250 mg + 125 mg,film-coated tablet,,,tablet,ACINET 375,"ALKEM LABORATORIES, INDIA"
232853,albendazole,200 mg,tablet,,,tablet,ALBEMED,สหแพทย์เภสัช
232895,albendazole,200 mg,tablet,,,tablet,ALBENDA,มิลาโน
232914,albendazole,200 mg,tablet,,,tablet,ALBENDAZOLE,เยาวราช
233611,methyldopa,250 mg,film-coated tablet,,,tablet,ALDOMET,เอ็ม.แอนด์.เอ็ช. แมนูแฟคเจอริ่ง
234950,allopurinol,100 mg,tablet,,,tablet,ALLO 100,ห้างขายยาตราเจ็ดดาว
235252,allopurinol,300 mg,tablet,,,tablet,ALLOPURINOL,สามัคคีเภสัช
235350,allopurinol,100 mg,tablet,,,tablet,ALLORIC,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
235460,theophylline,125 mg,tablet,,,tablet,ALMARION,จิวบราเดอร์ส
339152,cloxacillin,500 mg,"capsule, hard",,,capsule,GPO CLOX,โอสถอินเตอร์ แลบบอราทอรีส์
339530,lamivudine + nevirapine + stavudine,150 mg + 200 mg + 30 mg,tablet,,,tablet,GPO-VIR S 30,องค์การเภสัชกรรม
230512,pioglitazone,15 mg,tablet,,,tablet,ACTOS 15,"TAKEDA PHARMACEUTICAL, JAPAN"
231020,aciclovir,400 mg,tablet,,,tablet,ACYCLOVIR-NIDA,นิด้า ฟาร์มา
231319,methyldopa,125 mg,tablet,,,tablet,ADOMET,โปรเกรสแลบ
232685,simeticone,40 mg,chewable tablet,,,tablet,AIR-X SF,อินซ์เคป แมนูแฟคเจอริ่ง
238232,thiamphenicol,250 mg,"capsule, hard",,,capsule,AMCOL,เอเชี่ยนยูเนียนแล็บบอราตอรี่ส์
