tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
122042,glucosamine sulfate,1.5 g/3.95 g,powder for oral solution,3.95,g,sachet,GLUCOTRIL,แมคโครฟาร์
146681,irinotecan hydrochloride trihydrate,40 mg/2 mL,concentrate for solution for infusion,2,mL,vial,IRINOTESIN,"S.C. SINDAN-PHARMA, ROMANIA"
129133,mefenamic acid,500 mg,film-coated tablet,,,tablet,FENAMIC,ยูโทเปี้ยน
112633,lisinopril,20 mg,tablet,,,tablet,LISPRIL,สยามเภสัช
147368,medroxyprogesterone acetate,5 mg,tablet,,,tablet,PROVERA,"PHARMACIA & UPJOHN, U.S.A."
129683,mefenamic acid,500 mg,film-coated tablet,,,tablet,ANALGIC-500,ที.แมน. ฟาร์มา
231894,everolimus,5 mg,tablet,,,tablet,AFINITOR,"NOVARTIS PHARMA, SWITZERLAND"
236723,hydroxyzine hydrochloride,10 mg,film-coated tablet,,,tablet,ALZIN,สหแพทย์เภสัช
237244,glimepiride,4 mg,tablet,,,tablet,AMARYL,"P.T. AVENTIS PHARMA, INDONESIA"
248712,chlorphenamine maleate + paracetamol,2 mg + 500 mg,coated tablet,,,tablet,APRARIN,ชินต้าเทรดดิ้ง
235210,allopurinol,100 mg,tablet,,,tablet,ALLOPURINOL,เอเชี่ยนฟาร์มาซูติคอล
235688,allopurinol,100 mg,tablet,,,tablet,ALOMET,ปรูฟฟ์
236417,allopurinol,100 mg,tablet,,,tablet,ALPURA,มาซา แลบ
239756,hydroxyzine hydrochloride,25 mg,tablet,,,tablet,AMMIPAM M.S.,แมคโครฟาร์
114597,valsartan,320 mg,film-coated tablet,,,tablet,DIOVAN 320,"NOVARTIS FARMACEUTICA, SPAIN"
111162,verapamil hydrochloride,2.5 mg/1 mL,solution for injection,1,mL,ampoule,VERAPAMIL HYDROCHLORIDE,"ABBOTT, U.S.A."
150660,vinorelbine,10 mg/1 mL,concentrate for solution for infusion,1,mL,vial,VIESSIA,"LEMERY, MEXICO"
125895,ibuprofen,200 mg,"capsule, hard",,,capsule,VENOFEN,วี.เอส. ฟาร์ม่า
114079,losartan potassium,50 mg,film-coated tablet,,,tablet,COZAAR,"MERCK SHARP & DOHME, U.K."
147296,medroxyprogesterone acetate,150 mg/3 mL,suspension for injection,3,mL,vial,NON-PREG,แอล.บี.เอส. แลบบอเรตอรี่
120598,flurbiprofen,50 mg,coated tablet,,,tablet,FURBEN,สหแพทย์เภสัช
128983,mefenamic acid,250 mg,film-coated tablet,,,tablet,PANFEMIC,เวสโก ฟาร์มาซูติคอล
129665,mefenamic acid,250 mg,film-coated tablet,,,tablet,WOCOMIC,เคนยากุ
128805,meloxicam,15 mg,tablet,,,tablet,CAMBIC 15,แอล.บี.เอส. แลบบอเรตอรี่
131813,naproxen,250 mg,tablet,,,tablet,PROXEN,พอนด์เคมีคอล
116961,nicotinic acid,500 mg,prolonged-release tablet,,,tablet,NIASPAN,"AEROPHARM TECHNOLOGY, U.S.A."
104208,omeprazole,10 mg,gastro-resistant tablet,,,tablet,LOSEC MUPS,"ASTRAZENECA, SWEDEN"
104265,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,CLINOSEC,บางกอกแล็ป แอนด์ คอสเมติค
104375,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,LOACID,วี.เอส. ฟาร์ม่า
104443,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,LOSEC,"ASTRAZENECA, SWEDEN"
104525,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,MINICID,โอสถสภา
104541,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,MODUZOLE,เอช.เค. ฟาร์มาซูติคอล
104709,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,OMEPRAZOLE-20,บางกอกแล็ป แอนด์ คอสเมติค
104895,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,OPRAH,ห้างขายยาตราเจ็ดดาว
104914,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,OPRASEC,ห้างขายยาตราเจ็ดดาว
128635,ketoprofen,100 mg/2 mL,powder for solution for injection,,,ampoule,FLEXEN,"LIFE PHARMA, ITALY"
147334,medroxyprogesterone acetate,2.5 mg,tablet,,,tablet,PROVERA,"PFIZER PHARMACEUTICALS, PUERTO RICO"
130115,mefenamic acid,250 mg,"capsule, hard",,,capsule,ANAGAN,บูรพาโอสถ
147277,medroxyprogesterone acetate,150 mg/3 mL,suspension for injection,3,mL,vial,MEDROXYPROGESTERONE ACETATE U.S.P,"P.T. UPJOHN, INDONESIA"
110882,nitrendipine,10 mg,tablet,,,tablet,BAYPRESS 10,"BAYER, TURKEY"
114257,olmesartan medoxomil,20 mg,film-coated tablet,,,tablet,OLMETEC,"DAIICHI SANKYO EUROPE, GERMANY"
129743,mefenamic acid,500 mg,film-coated tablet,,,tablet,DOLFENAL,"UNITED PHARMA, VIETNAM"
129069,mefenamic acid,500 mg,film-coated tablet,,,tablet,FASTAN FORTE,ห้างขายยาตราเจ็ดดาว
128528,indometacin,1 g/100 mL,cutaneous emulsion,60,mL,bottle,MYONIL,อาร์.พี.ซี. อินเตอร์เนชั่นแนล
104946,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,O-SID,สยามเภสัช
105071,omeprazole,20 mg,"gastro-resistant capsule, hard",,,capsule,SEVERON,อินซ์เคป แมนูแฟคเจอริ่ง
105276,omeprazole,40 mg,powder for solution for injection,,,vial,LOSEC,"ASTRAZENECA, SWEDEN"
130266,mefenamic acid,250 mg,"capsule, hard",,,capsule,FASTAN,ห้างขายยาตราเจ็ดดาว
130324,mefenamic acid,250 mg,"capsule, hard",,,capsule,FENNIC,พิคโก้ฟาร์มา
130330,mefenamic acid,250 mg,"capsule, hard",,,capsule,FESPA 250,ไทยนครพัฒนา
130376,mefenamic acid,250 mg,"capsule, hard",,,capsule,GYNOGESIC,บางกอกแล็ป แอนด์ คอสเมติค
130485,mefenamic acid,250 mg,"capsule, hard",,,capsule,MEFAMIC,พาตาร์แลบ
130492,mefenamic acid,250 mg,"capsule, hard",,,capsule,MEFEN,มิลาโน
130588,mefenamic acid,250 mg,"capsule, hard",,,capsule,MEMIC,นิวไลฟ์ฟาร์ม่า
130831,mefenamic acid,250 mg,"capsule, hard",,,capsule,PINMIC,มาซา แลบ
130896,mefenamic acid,250 mg,"capsule, hard",,,capsule,PONMED,เลิศสิงห์เภสัชกรรม
130952,mefenamic acid,250 mg,"capsule, hard",,,capsule,PONSTAN,"P.T. PFIZER, INDONESIA"
130968,mefenamic acid,250 mg,"capsule, hard",,,capsule,PRONAMIC,อินแพคฟาร์มา
130981,mefenamic acid,250 mg,"capsule, hard",,,capsule,PROSTAN (BLUE),เมดิซีน โปรดักส์
105322,omeprazole,40 mg,powder for solution for injection,,,vial,OCID,"CADILA HEALTHCARE, INDIA"
105419,omeprazole,40 mg,powder for solution for injection,,,vial,RISEK,"LEMERY, MEXICO"
105442,omeprazole,40 mg,powder for solution for injection,,,vial,VIPRAZO,"VITROFARMA, COLOMBIA"
105457,omeprazole,40 mg,powder for solution for injection,,,vial,ZEFXON,ไบโอแลป
148987,peginterferon alfa-2b,100 mcg,powder for solution for injection,100,mcg,prefilled syr,PEG-INTRON REDIPEN,"SCHERING-PLOUGH, SINGAPORE"
149042,peginterferon alfa-2b,100 mcg,powder for solution for injection,100,mcg,prefilled syr,PEG-INTRON REDIPEN,"VETTER PHARMA, GERMANY"
128833,meloxicam,15 mg,tablet,,,tablet,MELOBIC-15,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
128898,mefenamic acid,250 mg,film-coated tablet,,,tablet,ANAGAN,บูรพาโอสถ
129620,mefenamic acid,250 mg,film-coated tablet,,,tablet,FEVEST 250,เวสโก ฟาร์มาซูติคอล
147436,megestrol acetate,40 mg/1 mL,oral suspension,240,mL,bottle,MEGACE,"BRISTOL-MYERS SQUIBB, U.S.A."
242473,ampicillin,125 mg,tablet,,,tablet,AMPAT,เอเชี่ยนฟาร์มาซูติคอล
244591,ambroxol hydrochloride,30 mg,tablet,,,tablet,AMPROMED,มิลลิเมด
245705,amoxicillin + clavulanic acid,250 mg + 125 mg,film-coated tablet,,,tablet,ANBICYN F.C.,"CHINA CHEMICAL & PHARMACEUTICAL, TAIWAN"
131003,mefenamic acid,250 mg,"capsule, hard",,,capsule,SEFMIC,ยูนีซัน
