tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
440842,serratiopeptidase,5 mg,film-coated tablet,,,tablet,SERRAZEN,ฟาร์มาสันต์แล็บบอราตอรี่ส์
443258,doxepin,25 mg,"capsule, hard",,,capsule,SINEQUAN,"PFIZER, AUSTRALIA"
443939,prednisolone,5 mg,coated tablet,,,tablet,SINOPRED,ซีโนฟาร์ม
444615,trimetazidine dihydrochloride,20 mg,tablet,,,tablet,SITREN,สยามเภสัช
445252,serratiopeptidase,5 mg,film-coated tablet,,,tablet,SORDASE,เบสซี่แอรอน
445996,ketoconazole,200 mg,tablet,,,tablet,SP-KETO,อินแพคฟาร์มา
438089,amitriptyline hydrochloride,50 mg,"prolonged-release capsule, hard",,,capsule,SAROTEN RETARD,"H. LUNDBECK, DENMARK"
441008,amoxicillin,500 mg,"capsule, hard",,,capsule,SERVAMOX 500,"SANDOZ, AUSTRIA"
442616,simeticone,80 mg,chewable tablet,,,tablet,SIMCONE-T,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
444593,simeticone,80 mg,chewable tablet,,,tablet,SITICON,ฟาร์มาสันต์แล็บบอราตอรี่ส์
445155,tramadol hydrochloride,50 mg,"capsule, hard",,,capsule,SONAMOL,เคมีภัณฑ์ เมดิคอล
447409,amoxicillin,500 mg,"capsule, hard",,,capsule,STARCILLIN 500,อินแพคฟาร์มา
452557,tramadol hydrochloride,50 mg,"capsule, hard",,,capsule,TAMOLAN,โอลัน-เคมเมด
494309,clindamycin,1 g/100 mL,cutaneous liquid,100,mL,bottle,ACCIN CLINDA,ยูโทเปี้ยน
495192,clindamycin,1 g/100 mL,cutaneous liquid,30,mL,bottle,T 3 MYCIN,"HOE PHARMACEUTICALS, MALAYSIA"
495832,clotrimazole,1 g/100 mL,oromucosal paste,15,mL,bottle,CANDID,ค็อกซ์
498980,betamethasone dipropionate + clotrimazole,50 mg/100 g + 1 g/100 g,cream,100,g,tube,CLOMADEM-B,เลิศสิงห์เภสัชกรรม
437218,amoxicillin,250 mg,"capsule, hard",,,capsule,SAMOXIN,ห้างยาไทย
437336,cinnarizine,25 mg,tablet,,,tablet,SANAZINE,ห้างขายยาตราเจ็ดดาว
441684,amoxicillin,250 mg,"capsule, hard",,,capsule,SIA-MOX,สยามเภสัช
442491,chloramphenicol,100 mg,coated tablet,,,tablet,SIGCHLOCETIN,เอส.โค. ฟาร์ม่า
442811,cinnarizine,25 mg,tablet,,,tablet,SIMILIUM,นิวไลฟ์ฟาร์ม่า
492810,cetrimide + chlorhexidine gluconate,15 g/100 mL + 1.5 g/100 mL,cutaneous solution,5,L,gallon,DEKKALON,ซีโนฟาร์ม
492834,cetrimide + chlorhexidine gluconate,15 g/100 mL + 1.5 g/100 mL,cutaneous solution,5,L,gallon,FREBAC,แมคโครฟาร์
492913,cetrimide + chlorhexidine gluconate,15 g/100 mL + 1.5 g/100 mL,cutaneous solution,1,L,gallon,HIBICET,โอลิค
492932,cetrimide + chlorhexidine gluconate,15 g/100 mL + 1.5 g/100 mL,cutaneous solution,45,mL,bottle,HIBICET,โอลิค
527462,budesonide,1 mg/2 mL,nebuliser suspension,2,mL,unit dose,PULMICORT,"MINAKEM DUNKERQUE, SWEDEN"
446035,itraconazole,100 mg,"capsule, hard",,,capsule,SPORAL,"JANSSEN PHARMACEUTICA, BELGIUM"
446377,cefalexin,750 mg,prolonged-release tablet,,,tablet,SPORIDIN AF 750,"RANBAXY LABORATORIES, INDIA"
446417,itraconazole,100 mg,"capsule, hard",,,capsule,SPORLAB,ไบโอแลป
448087,prednisolone,5 mg,tablet,,,tablet,STARPRED,อินแพคฟาร์มา
502054,econazole nitrate + triamcinolone acetonide,1 g/100 g + 100 mg/100 g,cream,5,g,tube,ZOLENE,นิด้า ฟาร์มา
502229,erythromycin,2 g/100 mL,cutaneous solution,25,mL,bottle,STIEMYCIN,"STIEFEL LABORATORIES, SINGAPORE"
