tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
1000592,mometasone furoate,100 mg/100 g,cream,5,g,tube,ELOMET,"PT. MERCK SHARP DOHME PHARMA, INDONESIA"
1000619,desloratadine,5 mg,film-coated tablet,,,tablet,DESLORATADINE SANDOZ,"SANDOZ, INDIA"
923097,magnesium chloride,10 g/100 mL,oral solution,30,mL,bottle,MAGNESIUM CHLORIDE 10%,โรงพยาบาลศูนย์ตรัง
923111,magnesium chloride,10 g/100 mL,oral solution,240,mL,bottle,MAGNESIUM CHLORIDE 10%,โรงพยาบาลศูนย์ตรัง
924602,salicylic acid,40 g/100 g,ointment,30,g,jar,SALICYLIC 40% OINTMENT,โรงพยาบาลมหาราชนครเชียงใหม่
925094,salicylic acid,40 g/100 g,ointment,30,g,jar,SALICYLIC ACID 40% OINTMENT,สถาบันโรคผิวหนัง
1024259,meropenem,1 g,powder for solution for injection/infusion,,,vial,BDMERO 1000,"BDR PHARMACEUTICALS INTERNATIONAL, INDIA"
1037870,voriconazole,200 mg,film-coated tablet,,,tablet,VFEND,"PFIZER ITALIA, ITALY"
1038403,mirtazapine,30 mg,orodispersible tablet,,,tablet,REMERON SOLTAB,"ANESTA, U.S.A."
831501,anti-D (rh) immunoglobulin,150 mcg/1 mL,solution for injection,2,mL,vial,KAM RHO-D I.M.,"KAMADA, ISRAEL"
834645,benzoyl peroxide,5 g/100 g,gel,40,g,tube,PANOXYL 5,"STIEFEL LABORATORIES, SINGAPORE"
1039613,donepezil hydrochloride,5 mg,orodispersible tablet,,,tablet,DOZEMO ODT,"SANDOZ, INDIA"
1041549,loratadine,10 mg,tablet,,,tablet,ROLETRA,"SUN PHARMACEUTICAL INDUSTRIES, INDIA"
1050790,betamethasone,100 mg/100 g,cream,5,g,tube,BERATE,แอดวานซ์ ฟาร์มาซูติคอล แมนูเฟคเจอริ่ง
1041729,betamethasone,100 mg/100 g,cream,15,g,tube,BERATE,แอดวานซ์ ฟาร์มาซูติคอล แมนูเฟคเจอริ่ง
974979,citic acid + sodium citrate,14 g/100 mL + 9.8 g/100 mL,oral solution,1,L,bottle,SHOHL SOLUTION (SOD.CITRATE+CITIC ACID),โรงพยาบาลมหาราชนครราชสีมา
976384,ethyl alcohol + methoxsalen + propylene glycol,90 mL/100 mL + 750 mg/100 mL + 10 mL/100 mL,cutaneous solution,20,mL,bottle,AMMOIDINE,โรงพยาบาลรามาธิบดี
1009625,atropine sulfate,500 mg/100 mL,"eye drops, solution",5,mL,bottle,ATROPINE 0.5% EYE DROP,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี
1034280,methyl salicylate,36 mL/100 mL,cutaneous solution,60,mL,bottle,SPORT LINIMENT LEOPARD BRAND RED,ห้างขายยาตราเสือดาว
1039728,"influenza type A virus vaccine, A/Michigan/45/2015 (H1N1)pdm09-like virus + influenza type A virus vaccine, A/Singapore/INFIMH-16-0019/2016 (H3N2)-like virus + influenza type A virus vaccine, B/Colorado/6/2017-like virus + influenza type B virus vaccine, B/Phuket/3073/2013-like virus",15 mcg/0.5 mL + 15 mcg/0.5 mL + 15 mcg/0.5 mL + 15 mcg/0.5 mL,suspension for injection,0.5,mL,prefilled syr,FLUARIX TETRA (2018-2019),"GLAXOSMITHKLINE BIOLOGICALS, GERMANY"
1043484,abacavir,300 mg,film-coated tablet,,,tablet,ABACAVIR GPO,องค์การเภสัชกรรม
1044161,azacitidine,100 mg,powder for suspension for injection,,,vial,AZADINE,"INTAS PHARMACEUTICALS, INDIA"
1050034,ascorbic acid,100 mg,tablet,,,tablet,ASCORBIC ACID,ชินต้าเทรดดิ้ง
1052440,tigecycline,50 mg,powder for solution for infusion,,,vial,BACTICIL,"INTAS PHARMACEUTICALS, INDIA"
995364,gemcitabine,1 g,powder for solution for infusion,,,vial,GEMHOPE,"GLENMARK GENERICS, ARGENTINA"
725431,eptacog alfa (activated),2.4 mg,powder for solution for injection,,,vial,NOVOSEVEN,"NOVO NORDISK, DENMARK"
727558,dequalinium chloride,250 mcg,lozenge,,,lozenge,DEQUALINIUM MYBACIN,โรงงานเภสัชกรรมเกร๊ทเตอร์ฟาร์ม่า
1039818,pyritinol hydrochloride,100 mg,tablet,,,tablet,ENCEPTINOL,เลิศสิงห์เภสัชกรรม
925136,salicylic acid,40 g/100 g,ointment,500,g,jar,SALICYLIC ACID 40% OINTMENT,สถาบันโรคผิวหนัง
925073,salicylic acid,40 g/100 g,ointment,15,g,jar,SALICYLIC ACID 40% OINTMENT,สถาบันโรคผิวหนัง
979081,hyaluronate sodium,40 mg/2 mL,solution for injection,2,mL,prefilled syr,SYNOLIS V-A,"ANTEIS, SWITZERLAND"
982135,cetyl alcohol + mineral oil + stearyl alcohol + white petrolatum,2 g/100 g + 18 mL/100 g + 6 g/100 g + 10 g/100 g,cream,30,g,jar,COLD CREAM,โรงพยาบาลรามาธิบดี
915649,chlorhexidine gluconate + ethyl alcohol,5 mg/100 mL + 70 mL/100 mL,concentrate for dip solution,1.8,L,gallon,SAVLON 1:30 IN ALCOHOL 70%,โรงพยาบาลสรรพสิทธิประสงค์
1010152,brentuximab vedotin,50 mg,powder for concentrate for solution for infusion,,,vial,ADCETRIS,"BSP PHARMACEUTICALS, ITALY"
1010374,human menopausal gonadotropin,600 iu,powder and solvent for solution for injection,,,vial,MENOPUR,"FERRING, GERMANY"
812703,doxycycline,100 mg,"capsule, hard",,,capsule,DOXYCYCLINE,เภสัชกรรมทหาร
922661,coal tar + salicylic acid,5 g/100 g + 3 g/100 g,ointment,300,g,jar,LS OINTMENT,สถาบันโรคผิวหนัง
922626,coal tar + salicylic acid,5 g/100 g + 3 g/100 g,ointment,30,g,jar,LS OINTMENT,สถาบันโรคผิวหนัง
922642,coal tar + salicylic acid,5 g/100 g + 3 g/100 g,ointment,150,g,jar,LS OINTMENT,สถาบันโรคผิวหนัง
1053860,dexmedetomidine,200 mcg/2 mL,concentrate for solution for infusion,2,mL,vial,HYDEX,"INTAS PHARMACEUTICALS, INDIA"
1054060,selexipag,600 mcg,film-coated tablet,,,tablet,UPTRAVI,"EXCELLA, GERMANY"
1054330,selexipag,1.4 mg,film-coated tablet,,,tablet,UPTRAVI,"EXCELLA, GERMANY"
