tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
670414,pemirolast potassium,1 mg/1 mL,"eye drops, solution",5,mL,bottle,PEMIROX,"SANTEN PHARMACEUTICAL, JAPAN"
670553,lubricating agent,,gel,50,g,tube,Q-C LUBRICATING JELLY,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
995533,tafluprost + timolol,1.5 mg/100 mL + 500 mg/100 mL,"eye drops, solution",2.5,mL,bottle,TAPCOM,"SANTEN PHARMACEUTICAL, JAPAN"
650526,atomoxetine,60 mg,"capsule, hard",,,capsule,STRATTERA,"LILLY DEL CARIBE, PUERTO RICO"
651591,voriconazole,200 mg,film-coated tablet,,,tablet,VFEND,"PFIZER MANUFACTURING DEUTSCHLAND, GERMANY"
670887,salbutamol,2 mg/5 mL,syrup,60,mL,bottle,SABUMOL,องค์การเภสัชกรรม
675694,iron + multivitamins,,syrup,60,mL,bottle,NUTROPLEX,ไซอเมริกันฟาร์มาซูติเคิ้ลส์
658481,indinavir,200 mg,"capsule, hard",,,capsule,INAVIR,องค์การเภสัชกรรม
662969,carbomer + cetrimide,2 mg/1 g + 100 mcg/1 g,eye gel,10,g,tube,LIPOSIC,"DR. GERHARD MANN CHEM-PHARM FABRIK, GERMANY"
663264,isophane insulin,100 iu/1 mL,suspension for injection,3,mL,cartridge,BIOSULIN N,"M.J. BIOPHARM, INDIA"
1007093,edoxaban,30 mg,film-coated tablet,,,tablet,LIXIANA,"DAIICHI SANKYO EUROPE, GERMANY"
1007560,omeprazole,2 mg/1 mL,syrup,50,mL,bottle,OMEPRAZOLE,โรงพยาบาลศรีนครินทร์
1009570,isoniazid,20 mg/1 mL,oral suspension,60,mL,bottle,ISONIAZID,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี
1011339,ciprofloxacin,400 mg/200 mL,solution for infusion,200,mL,vial,CIFLOXIN INFUSION,สยามเภสัช
663569,isophane insulin,100 iu/1 mL,suspension for injection,10,mL,vial,INSUGEN-N,"BIOCON, INDIA"
663991,benzoyl peroxide,4 g/100 g,cream,10,g,tube,BREVOXYL,"STIEFEL LABORATORIES, U.K."
665518,indacaterol,300 mcg,"inhalation powder, hard capsule",,,capsule,ONBREZ BREEZHALER,"NOVARTIS PHARMA, SWITZERLAND"
665616,penicillamine,250 mg,"capsule, hard",,,capsule,DISTAMIN,องค์การเภสัชกรรม
668619,"influenza type A virus vaccine, A/California/7/2009 (H1N1)pdm09-like virus + influenza type A virus vaccine, A/Switzerland/9715293/2013 (H3N2)-like virus + influenza type B virus vaccine, B/Phuket/3073/2013-like virus",15 mcg/0.5 mL + 15 mcg/0.5 mL + 15 mcg/0.5 mL,suspension for injection,0.5,mL,prefilled syr,AGRIPPAL S1,"NOVARTIS VACCINES AND DIAGNOSTICS, ITALY"
672593,haemophilus influenzae type b vaccine + tetanus toxoid,10 mcg + 30 mcg,powder and solvent for suspension for injection,,,vial,HIBERIX,"GLAXOSMITHKLINE BIOLOGICALS, BELGIUM"
1001118,povidone iodine,2 g/100 mL,solution for injection,100,mL,bottle,BETADINE PLURAL SOLUTION,โรงพยาบาลพัทลุง
1003284,hyaluronate sodium,20 mg/1 mL,solution for injection,1,mL,prefilled syr,VISIOL,"TRB CHEMEDICA, SWITZERLAND"
850875,pirenoxine,5 mg/100 mL,"eye drops, tablet and solvent for solution",15,mL,bottle,CATALIN,"SENJU PHARMACEUTICAL, JAPAN"
851119,calciferol + calcium pantothenate + cyanocobalamin + nicotinamide + pyridoxine + retinol + riboflavin + thiamine,200 iu/5 mL + 5 mg/5 mL + 5 mcg/5 mL + 20 mg/5 mL + 1 mg/5 mL + 1000 iu/5 mL + 3 mg/5 mL + 5 mg/5 mL,syrup,100,mL,bottle,COX MULTIVIT,ค็อกซ์
876823,povidone iodine,10 g/100 mL,cutaneous solution,4.5,L,gallon,SEPTYL,บูรพาโอสถ
871359,povidone iodine,10 g/100 mL,cutaneous solution,15,mL,bottle,SEPTYL,บูรพาโอสถ
871371,povidone iodine,10 g/100 mL,cutaneous solution,30,mL,bottle,SEPTYL,บูรพาโอสถ
871392,povidone iodine,10 g/100 mL,cutaneous solution,450,mL,bottle,SEPTYL,บูรพาโอสถ
1010632,amlodipine,10 mg,tablet,,,tablet,AMVAS 10,มิลลิเมด
1014140,meropenem,500 mg,powder for solution for injection/infusion,,,vial,MEROPENEM ALVOGEN,"ACS DOBFAR, ITALY"
1018458,betahistine dihydrochloride,24 mg,tablet,,,tablet,SERC,"MYLAN LABORATORIES, FRANCE"
1125215,triamcinolone acetonide,20 mg/100 g,cream,5,g,tube,B.P. CORT,บูรพาโอสถ
704669,triamcinolone acetonide,20 mg/100 mL,cutaneous liquid,1,mL,measure,TRIAMCINOLONE ACETONIDE LOTION,สถาบันโรคผิวหนัง
704719,triamcinolone acetonide,100 mg/100 mL,cutaneous emulsion,30,mL,bottle,TRIAMCINOLONE ACETONIDE LOTION,โรงพยาบาลศิริราช
718439,cetylpyridinium chloride,460 mcg,lozenge,,,lozenge,VICKS MEDICATED DROPS BLUE MINT,เรกคิทท์ เบนคีเซอร์ เฮลธ์แคร์
844022,piroxicam,500 mg/100 g,gel,25,g,tube,NEOTICA,ไทยนครพัฒนา
845075,amiodarone hydrochloride,200 mg,tablet,,,tablet,ALDARONE,"CADILA PHARMACEUTICALS, INDIA"
845408,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,1,L,bottle,C-20,โอสถอินเตอร์ แลบบอราทอรีส์
845412,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,180,mL,bottle,C-20,โอสถอินเตอร์ แลบบอราทอรีส์
845431,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,360,mL,bottle,C-20,โอสถอินเตอร์ แลบบอราทอรีส์
845477,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,180,mL,bottle,C-20 BLUE SALLY,โอสถอินเตอร์ แลบบอราทอรีส์
845465,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,45,mL,bottle,C-20 BLUE SALLY,โอสถอินเตอร์ แลบบอราทอรีส์
668776,"diphtheria toxoid + pertussis vaccine, acellular + tetanus toxoid",2 iu/0.5 mL + 8 mcg/0.5 mL + 20 iu/0.5 mL,suspension for injection,0.5,mL,prefilled syr,BOOSTRIX,"GLAXOSMITHKLINE BIOLOGICALS, BELGIUM"
668879,diphtheria toxoid + tetanus toxoid,5 iu/0.5 mL + 40 iu/0.5 mL,suspension for injection,0.5,mL,ampoule,CLODIVAC,"IBSS & IOMED, POLAND"
669259,"influenza type A virus vaccine, A/California/7/2009 (H1N1)pdm09-like virus + influenza type A virus vaccine, A/Switzerland/9715293/2013 (H3N2)-like virus + influenza type B virus vaccine, B/Phuket/3073/2013-like virus",15 mcg/0.5 mL + 15 mcg/0.5 mL + 15 mcg/0.5 mL,suspension for injection,0.5,mL,prefilled syr,FLUAD,"NOVARTIS VACCINES AND DIAGNOSTICS, ITALY"
1007721,enalapril maleate,1 mg/1 mL,oral suspension,20,mL,bottle,ENALAPRIL,โรงพยาบาลศรีนครินทร์
1011534,valsartan,160 mg,film-coated tablet,,,tablet,VALSARIN 160,ยูนีซัน
1013955,empagliflozin + linagliptin,10 mg + 5 mg,film-coated tablet,,,tablet,GLYXAMBI,"BOEHRINGER INGELHEIM PHARMA, GERMANY"
1014186,cilastatin + imipenem,500 mg + 500 mg,powder for solution for infusion,,,vial,IMICILA ALVOGEN,"ACS DOBFAR, ITALY"
1014210,conjugated estrogens,62.5 mg/100 g,vaginal cream,5,g,jar,CONJUGATED ESTROGENS,โรงพยาบาลชุมแพ
835182,potassium chloride,500 mg,tablet,,,tablet,POTASSIUM CHLORIDE,โอลิค
1001586,gabapentin,600 mg,film-coated tablet,,,tablet,NEUPENTIN 600,โปลิฟาร์ม
1003382,escitalopram,10 mg,film-coated tablet,,,tablet,ESOPAM,ยูนีซัน
1005481,ethinylestradiol + levonorgestrel,40 mcg + 125 mcg,coated tablet,21,tablets,pack,TRIGESTREL,"JAI PHARMA, INDIA"
830619,hyaluronic acid,4 mg/1 mL,gel for injection,1,mL,prefilled syr,GENEFILL ULTRA,"BIOPOLYMER, GERMANY"
652634,iron sucrose,100 mg/5 mL,solution for injection,5,mL,ampoule,ENCIFER,"EMCURE PHARMACEUTICALS, INDIA"
654301,benzoyl peroxide + clindamycin,5 g/100 g + 1 g/100 g,gel,25,g,tube,DUAC ONCE DAILY GEL,"STIEFEL LABORATORIES, IRELAND"
654289,benzoyl peroxide + clindamycin,5 g/100 g + 1 g/100 g,gel,10,g,tube,DUAC ONCE DAILY GEL,"STIEFEL LABORATORIES, IRELAND"
843851,meloxicam,7.5 mg,tablet,,,tablet,MELOBIC-7.5,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
487503,asafoetida,20 g/100 mL,cutaneous solution,120,mL,bottle,TR. ASAFOETIDA,สหการโอสถ
844739,asafoetida,20 g/100 mL,cutaneous solution,15,mL,bottle,TR. ASAFOETIDA,สหการโอสถ
853100,sodium bicarbonate,50 g/5 mL,syrup,60,mL,bottle,SODIUM BICARBONATE,องค์การเภสัชกรรม
858510,dextrose + sodium chloride,5 g/100 mL + 450 mg/100 mL,solution for infusion,500,mL,bottle,DEXTROSE 5% IN NORMAL SALINE 0.45%,"FRESENIUS KABI BIDIPHAR, VIETNAM"
861841,gabapentin,400 mg,"capsule, hard",,,capsule,G-PENTIN,แอล.บี.เอส. แลบบอเรตอรี่
862161,piroxicam,10 mg,"capsule, hard",,,capsule,NUTARZOL,เบสซี่แอรอน
845496,chlorhexidine gluconate,120 mg/100 mL,gargle/mouthwash,250,mL,bottle,C-20 BLUE SALLY,โอสถอินเตอร์ แลบบอราทอรีส์
845774,hydralazine hydrochloride,50 mg,film-coated tablet,,,tablet,CESOLINE P,ฟาร์มาสันต์แล็บบอราตอรี่ส์
848012,arachis oil,75 mg/100 g,bath additive,100,g,bar,OILATUM BAR,"MANUFACTURING SERVICES AND TRADE CORPORATION, PHILIPPINES"
999461,ketoconazole,10 mg/1 mL,oral suspension,40,mL,bottle,KETOKONAZOLE,โรงพยาบาลพัทลุง
1004856,aripiprazole,10 mg,orodispersible tablet,,,tablet,ABILIFY DISCMELT,"KOREA OTSUKA PHARMACEUTICAL, KOREA"
526120,propofol,200 mg/20 mL,emulsion for injection/infusion,20,mL,vial,PROPOVAN,"BHARAT SERUMS AND VACCINES, INDIA"
1008099,pitavastatin calcium,2 mg,film-coated tablet,,,tablet,LIVALIP,"KOWA, JAPAN"
1009035,methadone hydrochloride,50 mg/5 mL,oral solution,450,mL,bottle,METHADONE HYDROCHLORIDE,องค์การเภสัชกรรม
1011048,penicillamine,250 mg,"capsule, hard",,,capsule,PENICILLAMINE,"ALVITA PHARMA, INDIA"
1008052,"influenza type A virus vaccine, A/Hong Kong/4801/2014 (H3N2)-like virus + influenza type A virus vaccine, A/Michigan/45/2015 (H1N1)pdm09-like virus + influenza type B virus vaccine, B/Brisbane/60/2008-like virus",15 mcg/0.5 mL + 15 mcg/0.5 mL + 15 mcg/0.5 mL,suspension for injection,0.5,mL,prefilled syr,AGRIPPAL S1,"GSK VACCINES, ITALY"
904209,clobetasol propionate,50 mg/100 g,cream,15,g,tube,CLONOVATE,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
837064,clobetasol propionate,50 mg/100 g,cream,450,g,jar,CLONOVATE,ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ)
840001,pramipexole dihydrochloride monohydrate,750 mcg,prolonged-release tablet,,,tablet,SIFROL ER,"BOEHRINGER INGELHEIM PHARMA, GERMANY"
865635,dicloxacillin,250 mg,"capsule, hard",,,capsule,PADISE,ห้างขายยาตราเจ็ดดาว
867259,strychnine sulfate,2 mg/1 mL,solution for injection/infusion,1,mL,ampoule,STRYCHNINE SULPHATE,เบสซี่แอรอน
867620,tolperisone hydrochloride,50 mg,film-coated tablet,,,tablet,MYDOCALM (WHITE),"GEDEON RICHTER, HUNGARY"
1008567,amino acids + dextrose + lipids,75 g/1.477 L + 187 g/1.477 L + 56 g/1.477 L,emulsion for infusion,1.477,L,bag,SMOFKABIVEN,"FRESENIUS KABI, SWEDEN"
1009205,chlorphenamine maleate + phenylephrine hydrochloride,2 mg/5 mL + 5 mg/5 mL,syrup,60,mL,bottle,SULIDINE-CP,บี.เอม. ฟาร์มาซี
1012636,minerals + multivitamins,,coated tablet,,,tablet,MAXAMIN,"ANGLO-FRENCH DRUGS & INDUSTRIES, INDIA"
848759,olive oil,,cutaneous liquid,450,mL,bottle,PURE OLIVE OIL,ศรีจันทร์สหโอสถ
849314,hydrocortisone,100 mg,powder for solution for injection,,,vial,SOLU-CORTEF,"PFIZER MANUFACTURING, BELGIUM"
859879,tretinoin,250 mg/100 g,cream,5,g,tube,A-TINIC,โปลิฟาร์ม
864615,piroxicam,500 mg/100 g,gel,25,g,tube,MYXYCAM,โรงงานเภสัชกรรมเกร๊ทเตอร์ฟาร์ม่า
840310,tiotropium bromide,2.5 mcg/1 dose,inhalation solution,60,dose,actuation,SPIRIVA RESPIMAT,"BOEHRINGER INGELHEIM PHARMA, GERMANY"
